insitucion_educativa;codigo_dane_sede;nombre_sede_educativa;direccion;telefono_1;telefono_2
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001003993;Atanasio Girardot;KR 1A3 70B 00;4404968;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001015991;Inmaculada Concepcion;CL 73A 1A 14 21;4329054;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001002792;Jorge Eliecer Gaitan;KR 2 CL 71;4428886;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001012089;Los Vencedores;KR 1A4 72D 19;4409924;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001015941;San Jorge;KR 1 I 74 23;4402626;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001006461;San Luis;CL 72 1 B 03;4405926;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001012216;Tres De Julio;KR 1 F 71 00;4331059;0
Institución Educativa Tecnico Industrial Veinte De Julio;176001030796;Sede Principal;KR 5 N 33 01;4444382;3217553006
Institución Educativa Tecnico Industrial Veinte De Julio;176001004124;Adan Cordovez Cordoba;KR 5 A 34 31;4416455;0
Institución Educativa Tecnico Industrial Veinte De Julio;176001004116;Cristina Serrano De Lourido;KR 5 N 33 03;4444382;3217554254
Institución Educativa Tecnico Industrial Veinte De Julio;176001004078;Ignacio Rengifo;CL 41 5 23;3450764;3217547920
Institución Educativa Vicente Borrero Costa;176001001664;Sede Principal;CL 76 KR 7 S 00 EQ;6620161;3168822556
Institución Educativa Vicente Borrero Costa;176001003870;Alfonso Lopez Pumarejo;CL 84 KR 7 A BIS EQ;3168822556;3006602226
Institución Educativa Vicente Borrero Costa;176001004353;Jose Maria Villegas;CL 82 KR 7 D 1;3168822556;3006602226
Institución Educativa Vicente Borrero Costa;176001006445;Presbitero Eloy Valenzuela;CL 74 7 P BIS 46;3168822556;3006602226
Institución Educativa Villacarmelo;276001005133;Cacique Calarcá;VEREDA LA FONDA;5517522;0
Institución Educativa Villacarmelo;276001006032;Sede Nuestra Señora Del Carmen;CABECERA CORREGIMIENTO VILLACARMELO;5517522;0
Institución Educativa Villacolombia;176001001800;Sede Principal;KR 12 E 48 36;4421486;4423864
Institución Educativa Villacolombia;176001003985;Republica De Colombia;CL 53 12 E 11;4431712;0
Institución Educativa Villacolombia;176001004035;Santisima Trinidad;CL 48 12 84;4413228;0
